timestamp,symbol,event,side,mode,price,size,margin_used,pnl_pct,pnl_usdt,balance,entry_type,score,score_adjusted,killzone,dow,regime,adx_value,adx_bull,htf_range_pos,htf_label,sqz_quadrant,sqz_on,ob_bull_dist_pct,ob_bear_dist_pct,compression_state,candle_count,mae_pct,mfe_pct,duration_minutes,exit_reason,ob_width_pct,pending_distance_pct,note
2026-05-20T22:14:31.103634,BTC/USDT:USDT,open_long,long,paper,66539.9,0.004509,100.01,,,4893.62,C,5,6,NY_AM,1,exhaustion,15.7,False,0.6452306921501303,MID,,False,,,,7,,,,,,,adapt=1.00
2026-05-20T22:14:31.119940,BTC/USDT:USDT,tp1,long,paper,67692.5,0.0009018,,1.73,1.04,4914.66,,5,7,,2,exhaustion,15.7,False,0.6452306921501303,MID,,False,,,,7,0.0,1.732,0.0,tp1,,,
2026-05-20T22:14:31.136241,BTC/USDT:USDT,tp2,long,paper,68137.4,0.0007214400000000001,,2.4,1.15,4931.81,,4,3,,2,exhaustion,15.0,False,0.7302700307068909,PREM,,False,,,,8,0.0,2.401,0.0,tp2,,,
2026-05-20T22:14:31.329740,BTC/USDT:USDT,tp3,long,paper,69464.5,0.0008657280000000001,,4.4,2.53,4953.55,,3,1,,2,exhaustion,13.1,False,0.87512281391236,PREM,,False,,,,11,0.0,4.395,0.0,tp3,,,
2026-05-20T22:14:32.712816,BTC/USDT:USDT,trailing_stop,long,paper,66198.4,0.002020032,,-0.51,-0.69,4997.66,,4,5,,2,trending,25.5,True,0.060333146048849075,DISC,,False,,,,0,-0.513,10.688,0.0,trail,,,
2026-05-20T22:14:32.818778,BTC/USDT:USDT,open_short_standalone,short,paper,67504.8,0.003111,70.0,,,4927.66,C,2,2,London_Open,0,trending,26.4,True,0.3326744925493709,MID,,False,,,,0,,,,,,,sizing=0.70
2026-05-20T22:14:32.884865,BTC/USDT:USDT,dca_short_1,short,paper,68939.9,0.002176,50.0,-2.13,,4877.65,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:33.092685,BTC/USDT:USDT,dca_short_2,short,paper,70242.0,0.003203,75.0,-3.15,,4802.66,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:34.056693,BTC/USDT:USDT,dca_short_3,short,paper,72421.2,0.004142,99.99,-5.1,,4702.67,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:35.001004,BTC/USDT:USDT,hard_stop_short,short,paper,74360.3,0.012632,,-6.14,-54.34,4943.32,,1,-1,,2,trending,39.2,True,0.9927335640138396,PREM,,False,,,,0,-6.141,0.0,0.0,hard_stop,,,
